Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,3,5,1,1,1,11,4,0,0,0,1.000,1.000,2.200,1.200,3.200,1.000,1.346
Nick Mirman,4,2,2,1,0,0,3,3,0,0,1,0.500,0.400,0.750,0.250,1.150,0.368,0.432
Oliver Patton,5,3,4,1,0,0,5,0,0,0,0,0.800,0.800,1.000,0.200,1.800,0.610,0.788
Rich Squitieri,4,3,4,0,0,0,4,3,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.852
Joe Edwards,4,2,3,1,0,0,4,3,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Nick Hurlburt,3,3,2,0,0,1,5,1,1,0,0,0.667,0.750,1.667,1.000,2.417,0.754,0.915
Amory Meltzer,3,1,1,0,0,0,1,1,1,1,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Scott Richardson,3,2,3,2,0,0,5,3,0,0,1,1.000,0.750,1.667,0.667,2.417,0.754,0.858
Matt Turner,3,1,1,1,0,0,2,0,1,1,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Max Mirman,3,1,3,0,0,0,3,3,0,0,1,1.000,0.750,1.000,0.000,1.750,0.588,0.667
Total:,37,21,28,7,1,2,43,21,4,2,3,0.757,0.727,1.162,0.405,1.889,0.618,0.760
