Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,2,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Justin Lee,4,1,4,1,0,0,5,4,0,0,0,1.000,1.000,1.250,0.250,2.250,0.762,0.985
Qaiser Patel,4,1,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rich Squitieri,3,2,2,0,0,0,2,1,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
Brandon Tautges,4,2,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Joe Edwards,4,2,2,0,1,0,4,4,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.625
Nick Mirman,4,2,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Nick Hurlburt,3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Scott Richardson,3,1,1,0,0,0,1,0,0,1,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Gordon Walker,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Matt Turner,3,2,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,38,16,18,1,1,0,21,16,2,1,0,0.474,0.500,0.553,0.079,1.053,0.363,0.463
