Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,3,2,1,0,1,6,4,1,0,0,0.667,0.750,2.000,1.333,2.750,0.838,1.010
Nick Hurlburt,4,3,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Qaiser Patel,4,2,3,1,0,0,4,2,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Dan Prince,4,2,2,0,0,1,5,4,0,0,0,0.500,0.500,1.250,0.750,1.750,0.537,0.740
Joe Edwards,4,0,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Hanten,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
David Holm,3,2,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Scott Richardson,3,2,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Mirman,3,1,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amory Meltzer,3,2,1,0,0,0,1,2,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,35,18,18,2,0,2,26,18,1,0,0,0.514,0.528,0.743,0.229,1.271,0.423,0.551
