"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",3,2,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
"Oliver Patton",3,1,1,1,0,0,2,0,0,1,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
"Luke Heuer",3,1,2,0,0,0,2,0,0,1,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
"Derek Bayes",2,2,2,0,0,0,2,1,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
"Joe Edwards",3,1,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
"Rich Squitieri",3,1,2,1,0,0,3,3,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
"Nick Mirman",3,0,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
"Nick Hanten",3,1,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
"Charlie Henschen",3,1,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
"Scott Richardson",3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
"Amory Meltzer",3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
"Gordon Walker",3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
"Andrew Scott",3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
"Total:",38,10,21,4,0,0,25,10,1,2,0,0.553,0.564,0.658,0.105,1.222,0.418,0.536
