Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,4,4,0,0,0,4,3,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.852
Qaiser Patel,5,3,5,1,0,0,6,1,0,0,0,1.000,1.000,1.200,0.200,2.200,0.750,0.966
Rich Squitieri,5,3,2,1,0,0,3,4,0,0,0,0.400,0.400,0.600,0.200,1.000,0.330,0.432
Luke Heuer,3,1,2,0,0,0,2,3,0,0,1,0.667,0.500,0.667,0.000,1.167,0.392,0.445
Joe Edwards,4,1,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Scott Richardson,4,2,2,0,0,0,2,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Dan Prince,4,2,3,1,0,0,4,3,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Matt Turner,3,2,2,0,0,0,2,0,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
Amory Meltzer,3,2,1,0,0,0,1,2,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Justin Lee,4,1,2,1,0,0,3,1,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Total:,39,21,26,4,0,0,30,21,3,0,1,0.667,0.674,0.769,0.102,1.443,0.496,0.622
