Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,25,13,13,2,1,2,23,12,4,0,1,0.520,0.567,0.920,0.400,1.487,0.485,0.607
Qaiser Patel,24,14,14,5,0,0,19,4,2,0,1,0.583,0.593,0.792,0.209,1.385,0.465,0.584
Oliver Patton,19,10,10,1,0,3,20,13,0,0,1,0.526,0.500,1.053,0.527,1.553,0.488,0.641
Luke Heuer,7,2,4,0,1,0,6,5,0,0,1,0.571,0.500,0.857,0.286,1.357,0.439,0.535
Joe Edwards,26,7,14,0,2,0,18,10,0,0,0,0.538,0.538,0.692,0.154,1.230,0.415,0.535
Rich Squitieri,22,9,14,1,0,0,15,8,3,0,0,0.636,0.680,0.682,0.046,1.362,0.477,0.598
Nick Mirman,22,7,13,0,0,0,13,9,3,0,0,0.591,0.640,0.591,0.000,1.231,0.436,0.547
Scott Richardson,17,4,5,0,0,0,5,7,0,1,1,0.294,0.278,0.294,0.000,0.572,0.199,0.247
Amory Meltzer,18,5,9,0,0,0,9,3,1,0,0,0.500,0.526,0.500,0.000,1.026,0.362,0.458
Gordon Walker,18,3,7,0,0,0,7,2,0,0,0,0.389,0.389,0.389,0.000,0.778,0.272,0.346
Matt Turner,16,8,8,0,0,0,8,3,4,0,0,0.500,0.600,0.500,0.000,1.100,0.395,0.496
Nick Hurlburt,26,5,11,2,0,0,13,9,0,0,0,0.423,0.423,0.500,0.077,0.923,0.315,0.406
Brandon Tautges,17,6,7,0,0,0,7,4,0,0,0,0.412,0.412,0.412,0.000,0.824,0.288,0.366
Justin Lee,21,5,12,2,0,0,14,9,0,0,1,0.571,0.545,0.667,0.096,1.212,0.412,0.520
Total:,285,102,147,15,4,5,185,102,17,1,6,0.516,0.532,0.649,0.133,1.181,0.402,0.510
