Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Qaiser Patel,3,3,3,1,0,0,4,0,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Oliver Patton,3,2,3,2,0,0,5,2,0,0,0,1.000,1.000,1.667,0.667,2.667,0.867,1.143
Luke Heuer,3,2,2,0,0,0,2,4,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Joe Edwards,3,2,3,0,1,0,5,1,0,0,0,1.000,1.000,1.667,0.667,2.667,0.867,1.130
Rich Squitieri,3,0,2,0,0,0,2,2,0,1,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Mirman,3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Brandon Tautges,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scott Richardson,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amory Meltzer,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Gordon Walker,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Matt Turner,2,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total:,34,10,15,3,1,0,20,10,0,2,0,0.441,0.441,0.588,0.147,1.029,0.345,0.447
