Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,4,1,2,2,0,0,4,0,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.635
Nick Hurlburt,4,1,1,1,0,0,2,2,0,0,0,0.250,0.250,0.500,0.250,0.750,0.237,0.318
Rich Squitieri,4,1,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Oliver Patton,4,2,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Joe Edwards,4,0,3,0,0,0,3,0,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Nick Mirman,3,0,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Scott Richardson,3,0,1,0,0,0,1,2,0,0,1,0.333,0.250,0.333,0.000,0.583,0.196,0.223
Amory Meltzer,4,0,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Gordon Walker,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Total:,34,6,15,3,0,0,18,6,1,0,1,0.441,0.444,0.529,0.088,0.973,0.332,0.422
