Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,33,17,19,4,1,3,34,12,2,0,0,0.576,0.600,1.030,0.454,1.630,0.528,0.688
Qaiser Patel,20,11,12,5,0,0,17,6,1,0,1,0.600,0.591,0.850,0.250,1.441,0.478,0.604
Oliver Patton,22,13,15,6,0,2,27,10,0,0,0,0.682,0.682,1.227,0.545,1.909,0.614,0.818
Luke Heuer,20,6,11,3,0,0,14,11,0,0,0,0.550,0.550,0.700,0.150,1.250,0.422,0.546
Joe Edwards,26,7,16,4,2,1,27,11,0,0,2,0.615,0.571,1.038,0.423,1.609,0.516,0.656
Rich Squitieri,26,8,14,0,0,0,14,8,1,1,0,0.538,0.556,0.538,0.000,1.094,0.385,0.487
Nick Mirman,22,6,13,3,0,0,16,6,1,1,0,0.591,0.609,0.727,0.136,1.336,0.456,0.583
Derek Bayes,5,0,2,0,0,0,2,1,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Nick Hanten,20,7,12,4,0,0,16,8,3,0,2,0.600,0.600,0.800,0.200,1.400,0.470,0.572
Scott Richardson,26,7,13,3,2,1,23,9,1,1,0,0.500,0.519,0.885,0.385,1.404,0.455,0.594
Amory Meltzer,19,6,6,3,0,0,9,5,1,1,1,0.316,0.333,0.474,0.158,0.807,0.268,0.342
Gordon Walker,22,5,10,0,0,0,10,8,2,0,0,0.455,0.500,0.455,0.000,0.955,0.339,0.429
Matt Turner,17,2,5,0,0,0,5,2,3,1,0,0.294,0.400,0.294,0.000,0.694,0.254,0.328
Brandon Tautges,5,2,1,0,0,0,1,1,2,0,0,0.200,0.429,0.200,0.000,0.629,0.243,0.327
Total:,297,102,155,36,5,7,222,102,18,6,7,0.522,0.537,0.747,0.225,1.284,0.428,0.547
