Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,2,1,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Nick Mirman,2,2,2,0,0,0,2,0,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
Oliver Patton,3,2,2,0,0,1,5,3,0,0,0,0.667,0.667,1.667,1.000,2.334,0.717,0.987
Rich Squitieri,3,0,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Joe Edwards,3,2,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Nick Hurlburt,3,0,1,0,0,0,1,2,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Brandon Tautges,3,0,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Gordon Walker,3,0,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Amory Meltzer,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Turner,1,0,1,0,0,0,1,0,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.795
Total:,25,7,13,0,0,1,16,7,3,0,0,0.520,0.571,0.640,0.120,1.211,0.417,0.530
