Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,4,2,2,1,0,0,3,0,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Nick Hurlburt,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Oliver Patton,3,2,1,1,0,0,2,1,1,0,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Dan Prince,3,2,3,0,1,1,8,5,0,0,1,1.000,0.750,2.667,1.667,3.417,1.004,1.143
Joe Edwards,3,1,2,0,1,0,4,2,0,0,1,0.667,0.500,1.333,0.666,1.833,0.558,0.625
Nick Hanten,4,1,2,1,0,0,3,0,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
David Holm,4,1,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Scott Richardson,2,0,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Amory Meltzer,2,0,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Alex Potter,3,1,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Total:,32,11,15,3,2,1,25,11,2,0,3,0.469,0.459,0.781,0.312,1.240,0.402,0.500
