Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Nick Hanten,3,1,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Hurlburt,3,1,2,0,1,0,4,1,0,0,0,0.667,0.667,1.333,0.666,2.000,0.633,0.833
Oliver Patton,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Rich Squitieri,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Joe Edwards,3,0,2,1,0,0,3,2,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Nick Mirman,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Amory Meltzer,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scott Richardson,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Matt Turner,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total:,24,4,10,1,1,0,13,4,0,0,0,0.417,0.417,0.542,0.125,0.959,0.323,0.417
