Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,2,3,0,0,0,3,1,0,1,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Rich Squitieri,4,1,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Qaiser Patel,3,3,2,0,0,0,2,1,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
Dan Prince,4,2,3,2,0,0,5,2,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.858
Joey Owen,3,1,2,1,1,0,5,5,0,0,0,0.667,0.667,1.667,1.000,2.334,0.717,0.960
Nick Hanten,2,1,1,0,0,0,1,0,1,1,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Nick Hurlburt,3,1,1,1,0,0,2,0,0,0,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
David Holm,3,3,3,1,0,0,4,1,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Scott Richardson,3,1,3,2,0,0,5,3,0,0,0,1.000,1.000,1.667,0.667,2.667,0.867,1.143
Amory Meltzer,3,0,1,0,0,0,1,1,0,1,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,32,15,21,7,1,0,30,15,2,3,0,0.656,0.676,0.938,0.282,1.614,0.539,0.690
