Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Nick Hanten,4,1,1,1,0,0,2,0,0,0,0,0.250,0.250,0.500,0.250,0.750,0.237,0.318
Nick Hurlburt,4,0,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Mirman,4,1,1,0,0,0,1,1,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Oliver Patton,4,2,4,2,0,0,6,1,0,0,0,1.000,1.000,1.500,0.500,2.500,0.825,1.080
Joe Edwards,3,0,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Amory Meltzer,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Scott Richardson,2,0,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Turner,3,0,1,0,0,0,1,0,0,1,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Rich Squitieri,2,0,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Total:,30,4,11,3,0,0,14,4,2,1,1,0.367,0.394,0.467,0.100,0.861,0.294,0.374
