Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Nick Hurlburt,3,0,0,0,0,0,0,0,1,1,0,0.000,0.250,0.000,0.000,0.250,0.113,0.175
Joey Owen,3,1,1,1,0,0,2,0,1,0,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Dan Prince,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Joe Edwards,3,2,3,0,0,0,3,0,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Nick Hanten,2,1,1,1,0,0,2,2,1,0,0,0.500,0.667,1.000,0.500,1.667,0.550,0.657
Nick Mirman,2,0,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Holm,3,1,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Scott Richardson,3,0,1,1,0,0,2,2,0,0,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
Amory Meltzer,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,26,6,10,4,0,0,14,6,3,1,1,0.385,0.433,0.538,0.153,0.971,0.329,0.417
