Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Qaiser Patel,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Rich Squitieri,3,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dan Prince,3,2,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Joey Owen,3,1,2,0,1,0,4,0,0,0,0,0.667,0.667,1.333,0.666,2.000,0.633,0.833
Joe Edwards,3,2,2,0,1,0,4,3,0,0,0,0.667,0.667,1.333,0.666,2.000,0.633,0.833
Nick Hurlburt,3,1,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
David Holm,3,1,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Amory Meltzer,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Sean Aronow,3,0,1,0,0,0,1,2,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,31,9,13,0,2,0,17,9,0,1,0,0.419,0.419,0.548,0.129,0.967,0.326,0.420
