Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,1,3,0,0,0,3,1,1,0,0,0.750,0.800,0.750,0.000,1.550,0.548,0.674
Rich Squitieri,5,1,1,1,0,0,2,1,0,0,0,0.200,0.200,0.400,0.200,0.600,0.190,0.254
Joey Owen,2,1,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Dan Prince,4,3,2,0,1,0,4,1,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.625
Joe Edwards,3,2,1,1,0,0,2,0,1,0,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Nick Hanten,4,1,2,0,0,0,2,3,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
David Holm,3,2,1,1,0,0,2,4,1,0,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Scott Richardson,4,0,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Nick Hurlburt,4,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total:,33,11,14,3,1,0,19,11,3,0,0,0.424,0.472,0.576,0.152,1.048,0.356,0.456
