Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,1,1,0,0,1,4,3,0,0,0,0.250,0.250,1.000,0.750,1.250,0.362,0.517
Qaiser Patel,4,3,4,0,0,0,4,0,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
David Holm,4,1,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Joey Owen,4,1,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Rich Squitieri,4,2,4,0,0,0,4,2,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Joe Edwards,4,1,2,0,0,0,2,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Hanten,4,2,3,0,1,0,5,2,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.848
Nick Hurlburt,4,0,2,0,0,0,2,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Mirman,2,0,1,0,0,0,1,1,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Amory Meltzer,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Scott Richardson,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,40,13,23,0,1,1,28,13,1,0,0,0.575,0.585,0.700,0.125,1.285,0.438,0.563
