Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,4,4,0,1,0,6,3,0,0,0,0.800,0.800,1.200,0.400,2.000,0.660,0.856
Oliver Patton,5,2,4,0,1,0,6,3,0,0,0,0.800,0.800,1.200,0.400,2.000,0.660,0.856
Qaiser Patel,4,3,3,1,0,0,4,2,0,0,1,0.750,0.600,1.000,0.250,1.600,0.520,0.610
Luke Heuer,5,3,4,1,1,1,10,4,0,0,0,0.800,0.800,2.000,1.200,2.800,0.860,1.168
Joe Edwards,4,1,3,0,1,0,5,2,0,0,1,0.750,0.600,1.250,0.500,1.850,0.583,0.678
Rich Squitieri,5,1,2,0,1,0,4,3,0,0,0,0.400,0.400,0.800,0.400,1.200,0.380,0.500
Nick Hanten,5,0,2,0,0,0,2,1,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Scott Richardson,4,3,3,0,0,1,6,1,0,0,0,0.750,0.750,1.500,0.750,2.250,0.713,0.962
Amory Meltzer,4,1,2,1,0,0,3,1,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Gordon Walker,3,3,2,0,0,0,2,1,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
Total:,44,21,29,3,5,2,48,21,1,0,2,0.659,0.638,1.091,0.432,1.729,0.560,0.715
