Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,2,2,1,0,0,3,1,1,0,0,0.667,0.750,1.000,0.333,1.750,0.588,0.715
Justin Lee,3,0,2,0,0,0,2,1,0,0,1,0.667,0.500,0.667,0.000,1.167,0.392,0.445
Nick Mirman,4,0,2,0,0,0,2,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Rich Squitieri,3,0,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Joe Edwards,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Brandon Tautges,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nick Hurlburt,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Gordon Walker,3,0,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Matt Turner,2,1,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Qaiser Patel,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,30,4,13,1,0,0,14,4,2,0,1,0.433,0.455,0.467,0.034,0.922,0.322,0.405
