Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,3,4,1,1,0,7,4,0,0,0,0.800,0.800,1.400,0.600,2.200,0.710,0.932
Qaiser Patel,3,2,1,1,0,0,2,3,1,0,1,0.333,0.400,0.667,0.334,1.067,0.347,0.394
Rich Squitieri,5,3,4,0,0,0,4,1,0,0,0,0.800,0.800,0.800,0.000,1.600,0.560,0.712
Joe Edwards,5,1,4,1,1,0,7,2,0,0,0,0.800,0.800,1.400,0.600,2.200,0.710,0.932
Nick Hanten,5,1,2,0,0,0,2,3,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Scott Richardson,5,1,2,2,0,0,4,2,0,0,0,0.400,0.400,0.800,0.400,1.200,0.380,0.508
Gordon Walker,3,1,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Dustin ?,4,1,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Oliver Patton,4,3,3,0,0,0,3,0,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Total:,39,16,23,5,2,0,32,16,2,0,1,0.590,0.595,0.821,0.231,1.416,0.473,0.600
