"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",4,4,3,1,1,0,6,2,1,0,0,0.750,0.800,1.500,0.750,2.300,0.735,0.894
"Oliver Patton",5,4,4,3,0,0,7,3,0,0,0,0.800,0.800,1.400,0.600,2.200,0.710,0.940
"Luke Heuer",4,3,3,0,2,0,7,3,1,0,0,0.750,0.800,1.750,1.000,2.550,0.798,0.962
"Joe Edwards",5,3,4,2,1,0,8,5,0,0,0,0.800,0.800,1.600,0.800,2.400,0.760,1.008
"Rich Squitieri",2,2,2,0,0,0,2,3,2,0,1,1.000,0.800,1.000,0.000,1.800,0.610,0.636
"Nick Hanten",4,2,3,0,0,0,3,2,1,0,0,0.750,0.800,0.750,0.000,1.550,0.548,0.674
"Charlie Henschen",4,3,4,0,0,0,4,0,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.852
"Scott Richardson",3,2,2,0,0,0,2,1,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
"Amory Meltzer",4,2,2,1,0,0,3,5,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
"Gordon Walker",4,1,2,0,0,0,2,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Total:",39,26,29,7,4,0,44,26,7,0,1,0.744,0.766,1.128,0.384,1.894,0.627,0.771
