Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Qaiser Patel,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Oliver Patton,3,2,2,1,0,1,6,2,0,0,0,0.667,0.667,2.000,1.333,2.667,0.800,1.113
Luke Heuer,3,1,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Joe Edwards,2,0,1,0,0,0,1,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Rich Squitieri,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nick Mirman,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Scott Richardson,2,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amory Meltzer,2,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Gordon Walker,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Turner,1,0,0,0,0,0,0,0,1,0,0,0.000,0.500,0.000,0.000,0.500,0.225,0.350
Total:,25,5,8,1,0,1,12,5,1,2,0,0.320,0.346,0.480,0.160,0.826,0.276,0.361
