Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,1,3,0,0,1,6,5,0,0,0,0.750,0.750,1.500,0.750,2.250,0.713,0.962
Nick Hurlburt,4,1,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Rich Squitieri,4,1,2,0,0,0,2,0,0,1,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
David Holm,3,0,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Joe Edwards,3,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amory Meltzer,2,0,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Sean Aronow,3,2,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Jake Galbraith,3,2,3,1,0,0,4,0,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Morgan Dunkin,3,1,2,0,0,0,2,0,0,1,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Total:,29,8,15,1,0,1,19,8,1,2,0,0.517,0.533,0.655,0.138,1.188,0.404,0.520
