Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,2,2,0,0,1,5,2,0,0,0,0.500,0.500,1.250,0.750,1.750,0.537,0.740
Oliver Patton,4,2,3,2,0,0,5,2,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.858
Joe Edwards,4,1,2,1,0,0,3,0,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Nick Hanten,3,2,2,1,0,0,3,2,0,0,1,0.667,0.500,1.000,0.333,1.500,0.475,0.540
Nick Mirman,4,3,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Paul Tisher,4,3,3,1,0,0,4,3,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Rich Squitieri,4,2,3,0,0,0,3,3,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Scott Richardson,4,1,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Amory Meltzer,3,2,1,1,0,0,2,2,1,0,0,0.333,0.500,0.667,0.334,1.167,0.392,0.492
Gordon Walker,4,1,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Matt Turner,4,0,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Qaiser Patel,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Total:,43,19,28,6,0,1,37,19,1,0,1,0.651,0.644,0.860,0.209,1.504,0.505,0.646
