Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,4,2,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Nick Hurlburt,3,3,3,0,0,0,3,3,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.843
Rich Squitieri,4,3,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Dan Prince,4,1,3,2,0,0,5,5,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.858
Andrew Burch,4,1,3,1,0,0,4,3,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Joey Owen,4,1,2,1,0,0,3,1,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Joe Edwards,2,1,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
Nick Hanten,2,2,1,0,0,0,1,0,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
David Holm,2,2,1,0,0,0,1,1,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Nick Mirman,3,3,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Scott Richardson,3,2,2,1,0,0,3,3,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Total:,35,21,22,5,0,0,27,21,4,0,0,0.629,0.667,0.771,0.142,1.438,0.493,0.623
