Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,2,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Hurlburt,4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Rich Squitieri,3,2,3,0,0,0,3,1,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Joey Owen,3,1,2,1,0,0,3,3,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Joe Edwards,3,0,3,0,0,0,3,3,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Nick Hanten,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Holm,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Amory Meltzer,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Sean Aronow,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,29,8,14,1,0,0,15,8,0,0,0,0.483,0.483,0.517,0.034,1.000,0.347,0.443
