Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,2,2,1,0,0,3,0,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Qaiser Patel,3,2,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Hurlburt,3,3,3,0,0,0,3,2,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
David Holm,3,2,3,1,0,0,4,3,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Joe Edwards,3,0,2,0,0,0,2,3,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Dan Prince,2,1,1,0,1,0,3,0,1,0,0,0.500,0.667,1.500,1.000,2.167,0.675,0.770
Nick Hanten,3,0,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Amory Meltzer,3,0,1,0,0,0,1,0,0,1,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Scott Richardson,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joey Owen,3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Jackson Badger,3,1,1,0,0,1,4,1,0,0,0,0.333,0.333,1.333,1.000,1.666,0.483,0.690
Total:,32,12,19,3,1,1,27,12,1,1,0,0.594,0.606,0.844,0.250,1.450,0.484,0.626
