"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",5,3,4,0,0,0,4,4,0,0,0,0.800,0.800,0.800,0.000,1.600,0.560,0.712
"Oliver Patton",4,1,2,0,0,0,2,2,0,0,1,0.500,0.400,0.500,0.000,0.900,0.305,0.356
"Qaiser Patel",4,2,3,1,0,0,4,3,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
"Luke Heuer",3,3,3,1,0,0,4,4,0,0,1,1.000,0.750,1.333,0.333,2.083,0.671,0.762
"Joe Edwards",4,3,3,2,0,0,5,2,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.858
"Rich Squitieri",4,0,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Nick Mirman",4,3,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
"Charlie Henschen",4,4,4,1,0,0,5,3,0,0,0,1.000,1.000,1.250,0.250,2.250,0.762,0.985
"Scott Richardson",4,2,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
"Amory Meltzer",4,3,3,0,0,0,3,3,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
"Gordon Walker",4,3,3,0,0,0,3,3,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
"Andrew Scott",4,3,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
"Total:",48,30,36,5,0,0,41,30,0,0,2,0.750,0.720,0.854,0.104,1.574,0.537,0.679
