Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,4,0,1,1,0,0,2,0,0,0,0,0.250,0.250,0.500,0.250,0.750,0.237,0.318
Nick Hurlburt,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Oliver Patton,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Rich Squitieri,4,1,4,1,0,0,5,0,0,0,0,1.000,1.000,1.250,0.250,2.250,0.762,0.985
Joe Edwards,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Nick Mirman,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Nick Hanten,3,1,2,0,0,0,2,1,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Scott Richardson,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Amory Meltzer,3,0,1,0,0,0,1,2,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Matt Turner,2,0,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total:,34,4,13,2,0,0,15,4,0,0,1,0.382,0.371,0.441,0.059,0.812,0.277,0.352
