Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,2,3,0,1,1,8,1,0,0,0,1.000,1.000,2.667,1.667,3.667,1.117,1.523
Qaiser Patel,3,2,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Oliver Patton,3,2,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Rich Squitieri,2,2,2,0,0,0,2,3,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
Joe Edwards,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Justin Lee,3,1,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Mirman,3,1,2,0,0,0,2,4,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Hurlburt,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Amory Meltzer,3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Gordon Walker,3,1,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Turner,3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Scott Richardson,3,1,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total:,35,15,18,1,1,1,24,15,1,0,0,0.514,0.528,0.686,0.172,1.214,0.409,0.528
