Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,0,2,0,0,0,2,1,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Qaiser Patel,5,2,3,0,0,0,3,1,0,0,0,0.600,0.600,0.600,0.000,1.200,0.420,0.534
Rich Squitieri,5,2,2,1,0,0,3,0,0,0,0,0.400,0.400,0.600,0.200,1.000,0.330,0.432
Dan Prince,4,3,2,1,0,0,3,2,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Joey Owen,3,1,2,0,0,0,2,1,0,1,1,0.667,0.500,0.667,0.000,1.167,0.392,0.445
Joe Edwards,4,2,3,0,1,0,5,4,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.847
Nick Hanten,3,0,2,1,0,0,3,2,0,0,1,0.667,0.500,1.000,0.333,1.500,0.475,0.540
Nick Hurlburt,4,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Holm,4,1,1,1,0,0,2,0,0,0,0,0.250,0.250,0.500,0.250,0.750,0.237,0.318
Amory Meltzer,4,1,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Sean Aronow,4,2,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Total:,45,14,22,4,1,0,28,14,0,1,2,0.489,0.468,0.622,0.133,1.090,0.366,0.464
