Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,2,2,0,0,0,2,0,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Nick Hurlburt,5,3,4,1,0,0,5,0,0,0,0,0.800,0.800,1.000,0.200,1.800,0.610,0.788
Rich Squitieri,5,2,4,0,0,0,4,4,0,0,0,0.800,0.800,0.800,0.000,1.600,0.560,0.712
Joey Owen,5,2,2,0,0,0,2,3,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Joe Edwards,4,2,3,1,0,0,4,2,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Nick Hanten,4,2,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
David Holm,4,1,3,0,0,0,3,1,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Amory Meltzer,4,0,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Sean Aronow,4,0,1,0,0,0,1,1,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Total:,40,14,24,2,0,0,26,14,0,0,0,0.600,0.600,0.650,0.050,1.250,0.432,0.553
