Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,4,3,1,0,0,4,0,2,0,0,1.000,1.000,1.333,0.333,2.333,0.783,0.890
Luke Heuer,5,1,4,2,0,0,6,3,0,0,0,0.800,0.800,1.200,0.400,2.000,0.660,0.864
Joe Edwards,4,0,1,1,0,0,2,2,0,0,1,0.250,0.200,0.500,0.250,0.700,0.215,0.254
Rich Squitieri,5,0,1,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.000,0.400,0.140,0.178
Nick Mirman,5,1,4,2,0,0,6,1,0,0,0,0.800,0.800,1.200,0.400,2.000,0.660,0.864
Nick Hanten,3,1,2,0,0,0,2,0,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
Scott Richardson,3,1,1,0,1,0,3,2,1,0,0,0.333,0.500,1.000,0.667,1.500,0.475,0.578
Gordon Walker,3,0,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Matt Turner,3,1,1,0,0,0,1,0,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Total:,34,9,18,6,1,0,26,9,6,0,1,0.529,0.585,0.765,0.236,1.350,0.455,0.566
