Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,3,3,1,0,1,7,4,0,0,0,0.750,0.750,1.750,1.000,2.500,0.775,1.058
Oliver Patton,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Qaiser Patel,3,1,2,1,0,0,3,2,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Nick Hanten,2,1,2,1,0,0,3,3,0,0,1,1.000,0.667,1.500,0.500,2.167,0.675,0.720
Luke Heuer,3,1,1,1,0,0,2,1,0,0,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
Nick Mirman,3,1,1,1,0,0,2,1,0,0,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
Scott Richardson,3,2,2,0,1,1,7,2,0,0,0,0.667,0.667,2.333,1.666,3.000,0.883,1.227
Amory Meltzer,3,2,2,1,0,0,3,1,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Rich Squitieri,2,3,2,0,0,0,2,0,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
Matt Turner,2,1,1,0,0,0,1,1,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Gordon Walker,3,2,3,0,0,0,3,3,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Total:,31,18,20,6,1,2,34,18,2,0,1,0.645,0.647,1.097,0.452,1.744,0.565,0.722
