Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,0,1,1,0,0,2,0,0,0,0,0.333,0.333,0.667,0.334,1.000,0.317,0.423
Qaiser Patel,3,2,2,1,0,0,3,0,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Oliver Patton,2,1,1,1,0,0,2,0,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.635
Luke Heuer,2,0,1,0,0,0,1,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Rich Squitieri,2,0,1,0,0,0,1,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Joe Edwards,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Mirman,2,0,1,0,0,0,1,0,0,1,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Derek Bayes,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Hanten,2,1,1,1,0,0,2,0,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.635
Scott Richardson,2,1,1,1,0,0,2,1,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.635
Amory Meltzer,2,0,1,0,0,0,1,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Gordon Walker,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Turner,2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Total:,28,5,13,5,0,0,18,5,0,1,0,0.464,0.464,0.643,0.179,1.107,0.370,0.481
