Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,5,2,2,1,0,0,3,1,0,0,0,0.400,0.400,0.600,0.200,1.000,0.330,0.432
Qaiser Patel,5,2,5,1,0,0,6,2,0,0,0,1.000,1.000,1.200,0.200,2.200,0.750,0.966
Rich Squitieri,5,1,1,0,0,0,1,1,0,0,0,0.200,0.200,0.200,0.000,0.400,0.140,0.178
Dan Prince,4,3,3,0,1,0,5,2,0,0,0,0.750,0.750,1.250,0.500,2.000,0.650,0.847
Joe Edwards,4,2,3,1,0,0,4,2,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Nick Hurlburt,3,1,1,0,0,0,1,0,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
David Holm,4,2,2,1,0,0,3,2,0,0,0,0.500,0.500,0.750,0.250,1.250,0.412,0.540
Amory Meltzer,3,0,1,0,0,0,1,2,0,0,1,0.333,0.250,0.333,0.000,0.583,0.196,0.223
Sean Aronow,4,2,2,0,0,0,2,3,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Hector Inda,4,0,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Total:,41,15,22,4,1,0,28,15,1,0,1,0.537,0.535,0.683,0.146,1.218,0.412,0.524
